Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,weekly change,monthly change,yearly change,relative_vol,rsi,symbol,sma50,sma200
2022-11-29 00:00:00-05:00,2.5880000591278076,2.734999895095825,2.5799999237060547,2.6500000953674316,126500,0,0,-0.14100484194509988,,,0.2577370554694967,,SNAL,,
2022-11-30 00:00:00-05:00,2.6500000953674316,2.6540000438690186,2.25,2.5999999046325684,189200,0,0,-0.10958909702068231,,,0.3854849873108995,,SNAL,,
2022-12-01 00:00:00-05:00,2.690000057220459,2.690000057220459,2.450000047683716,2.5899999141693115,66900,0,0,-0.09122806988191001,,,0.13630520957240577,57.834098268652866,SNAL,,
2022-12-02 00:00:00-05:00,2.559999942779541,2.5899999141693115,2.4110000133514404,2.569999933242798,22600,0,0,-0.09507041869242017,,,0.04604630398111167,57.265704800833184,SNAL,,
2022-12-05 00:00:00-05:00,2.630000114440918,2.630000114440918,2.430000066757202,2.490000009536743,43100,0,0,-0.027343724534147795,,,0.0878139690967218,54.9397747034489,SNAL,,
2022-12-06 00:00:00-05:00,2.4549999237060547,2.4549999237060547,2.2200000286102295,2.25,134600,0,0,-0.1509434267820169,,,0.27424037680785973,48.56672589608301,SNAL,,
2022-12-07 00:00:00-05:00,2.2300000190734863,2.5920000076293945,2.1600000858306885,2.259999990463257,425300,0,0,-0.13076920255401325,,,0.8665262426179997,48.83305758685949,SNAL,,
2022-12-08 00:00:00-05:00,2.2799999713897705,2.359999895095825,2.1500000953674316,2.183000087738037,196100,0,0,-0.15714279533550146,,,0.39954337215469016,46.82253537506454,SNAL,,
2022-12-09 00:00:00-05:00,2.2100000381469727,2.259999990463257,2.0,2.0,143800,0,0,-0.22178986305403448,-0.11111111111111116,,0.29298488993291405,42.358930447405996,SNAL,,
2022-12-12 00:00:00-05:00,2.0199999809265137,2.1500000953674316,2.0199999809265137,2.0899999141693115,36000,0,0,-0.1606426079660339,-0.30333336194356286,,0.07334809483716903,45.12935524580134,SNAL,,
2022-12-13 00:00:00-05:00,2.130000114440918,2.130000114440918,1.7000000476837158,1.7999999523162842,179100,0,0,-0.2000000211927626,-0.46587536693115805,,0.36490677181491593,38.67840845787928,SNAL,,
2022-12-14 00:00:00-05:00,1.850000023841858,1.9229999780654907,1.7999999523162842,1.8700000047683716,21800,0,0,-0.17256636607991427,-0.4417910274616933,,0.04441634631806347,40.87534766132974,SNAL,,
2022-12-15 00:00:00-05:00,1.850000023841858,1.909999966621399,1.7200000286102295,1.7400000095367432,54000,0,0,-0.20293177297135068,-0.43689318515579656,,0.11002214225575355,38.142335542935626,SNAL,,
2022-12-16 00:00:00-05:00,1.600000023841858,1.7899999618530273,1.440000057220459,1.440000057220459,142400,0,0,-0.2799999713897705,-0.5278688263169089,,0.2901324640225797,32.70746165082555,SNAL,,
2022-12-19 00:00:00-05:00,1.4500000476837158,1.6050000190734863,1.4500000476837158,1.4500000476837158,46500,0,0,-0.30622004438692485,-0.5230262941188096,,0.09474128916467667,33.04991106750093,SNAL,,
2022-12-20 00:00:00-05:00,1.4900000095367432,1.6399999856948853,1.4299999475479126,1.4500000476837158,71200,0,0,-0.1944443966135554,-0.5299837828998315,,0.14506623201128985,33.04991106750093,SNAL,,
2022-12-21 00:00:00-05:00,1.5399999618530273,1.600000023841858,1.4600000381469727,1.4600000381469727,57600,0,0,-0.21925131848980062,-0.5,,0.11735695173947044,33.442731776626324,SNAL,,
2022-12-22 00:00:00-05:00,1.4600000381469727,1.531999945640564,1.399999976158142,1.440000057220459,79300,0,0,-0.17241376475403358,-0.4947368051206624,,0.1615695533496529,33.025376723159184,SNAL,,
2022-12-23 00:00:00-05:00,1.4199999570846558,1.4930000305175781,1.2899999618530273,1.2999999523162842,36400,0,0,-0.09722229120907688,-0.5422535240827537,,0.07416307366869312,30.18558200176923,SNAL,,
2022-12-27 00:00:00-05:00,1.2799999713897705,1.3739999532699585,1.2799999713897705,1.350000023841858,11600,0,0,-0.0689655314160863,-0.4726562288997225,,0.023634386114198908,32.42059712025551,SNAL,,
2022-12-28 00:00:00-05:00,1.2599999904632568,1.5460000038146973,1.2599999904632568,1.4700000286102295,112200,0,0,0.01379308984055716,-0.44528302803460507,,0.22860156224251013,37.584994778821354,SNAL,,
2022-12-29 00:00:00-05:00,1.5,1.5499999523162842,1.4500000476837158,1.5199999809265137,28900,0,0,0.04109585014510864,-0.4153846012770066,,0.058882220577616246,39.654300513798404,SNAL,,
2022-12-30 00:00:00-05:00,1.4199999570846558,1.659000039100647,1.4199999570846558,1.4700000286102295,38400,0,0,0.020833312637276835,-0.43243240257724047,,0.07823796782631363,38.28728055862727,SNAL,,
2023-01-03 00:00:00-05:00,1.5499999523162842,1.6799999475479126,1.2599999904632568,1.3300000429153442,107400,0,0,0.023076993614966845,-0.4824902422323549,,0.21882181626422093,34.6820547997354,SNAL,,
2023-01-04 00:00:00-05:00,1.3300000429153442,1.5470000505447388,1.3300000429153442,1.5019999742507935,43800,0,0,0.11259255387001477,-0.39678716124574,,0.08924018205188898,41.91813635829465,SNAL,,
