timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-04-26 04:00:00+00:00,5.43,5.45,5.0526,5.07,1363872,8021,5.140681,-0.10582010582010581,-0.03428571428571425,,0.6085720945327927,44.54933505761297
2022-04-27 04:00:00+00:00,5.12,5.29,5.065,5.13,1146393,8334,5.14319,-0.08880994671403197,-0.08228980322003576,,0.5115309861685935,45.65272596699331
2022-04-28 04:00:00+00:00,5.19,5.34,4.9315,5.29,1501826,10073,5.11323,-0.007504690431519689,-0.05197132616487454,,0.670128424400388,48.590506725439134
2022-04-29 04:00:00+00:00,5.28,5.38,5.025,5.03,1076633,7648,5.150666,-0.04554079696394675,-0.009842519685039353,,0.4804034395112769,44.39120924967922
2022-05-02 04:00:00+00:00,5.01,5.035,4.81,4.99,1672261,9340,4.934435,-0.08440366972477065,-0.10892857142857137,,0.7461780719711986,43.76456770727523
2022-05-03 04:00:00+00:00,4.97,5.035,4.725,4.8,1640656,8680,4.832134,-0.053254437869822535,-0.17098445595854928,,0.7320756334375906,40.8171405756352
2022-05-04 04:00:00+00:00,4.82,5.08,4.69,5.06,2043437,9255,4.853069,-0.013645224171540016,-0.12758620689655176,,0.9118001800284824,46.16062865157601
2022-05-05 04:00:00+00:00,5.04,5.05,4.7,4.76,1532804,9485,4.804837,-0.10018903591682427,-0.1376811594202898,,0.6839510898297222,41.50419436278099
2022-05-06 04:00:00+00:00,4.74,4.77,4.46,4.71,2068514,11492,4.635489,-0.06361829025844934,-0.12777777777777788,,0.9229897655721396,40.76609587027437
2022-05-09 04:00:00+00:00,4.58,4.62,4.15,4.16,2056915,11885,4.330666,-0.16633266533066138,-0.2076190476190476,,0.917814186247624,33.67238373504101
2022-05-10 04:00:00+00:00,4.33,4.37,3.7008,3.97,3859066,21506,3.957885,-0.1729166666666666,-0.21073558648111335,,1.721950357922361,31.625082709163532
2022-05-11 04:00:00+00:00,3.9,4.26,3.82,3.87,1782784,11303,4.056615,-0.2351778656126482,-0.2351778656126482,,0.7954944400790913,30.571530397649493
2022-05-12 04:00:00+00:00,3.87,4.285,3.765,4.24,2659514,15678,4.09509,-0.10924369747899154,-0.24014336917562717,,1.1866993423277887,38.707646534337634
2022-05-13 04:00:00+00:00,4.37,4.81,4.37,4.61,2213656,14617,4.648601,-0.02123142250530774,-0.19405594405594395,,0.9877534464341844,45.57602880266251
2022-05-16 04:00:00+00:00,4.6,4.8199,4.45,4.56,1704576,10395,4.60764,0.09615384615384603,-0.1379962192816636,,0.7605973189641915,44.8447007131818
2022-05-17 04:00:00+00:00,4.68,4.9,4.637,4.89,1289022,8010,4.783515,0.23173803526448356,-0.13756613756613756,,0.5751733435680545,50.49128770293433
2022-05-18 04:00:00+00:00,4.8,5.029,4.705,4.78,1321236,8547,4.834098,0.23514211886304914,-0.15097690941385433,,0.5895475234421771,48.70148797917583
2022-05-19 04:00:00+00:00,4.72,5.18,4.72,5.07,1938224,11343,5.065772,0.195754716981132,-0.04878048780487798,,0.864853182229511,53.392178595003074
2022-05-20 04:00:00+00:00,5.11,5.195,4.87,5.05,1387403,11127,5.006318,0.0954446854663773,-0.04174573055028463,,0.6190718408113667,53.03202569292509
2022-05-23 04:00:00+00:00,5.06,5.235,4.945,5.12,1219671,8658,5.120699,0.12280701754385981,-0.06055045871559639,,0.5442282964317076,54.19658043155393
2022-05-24 04:00:00+00:00,5.03,5.17,4.91,5.02,1199094,9397,5.048427,0.026584867075664542,-0.009861932938856177,,0.5350466518278142,52.20518123203639
2022-05-25 04:00:00+00:00,4.95,5.86,4.95,5.73,8069039,37449,5.643135,0.1987447698744771,0.1169590643274856,,3.600478611700212,62.68799860884854
2022-05-26 04:00:00+00:00,5.75,6.15,5.64,5.97,3857019,24898,5.982335,0.17751479289940808,0.12854442344045358,,1.7210369678993174,65.44681538190302
2022-05-27 04:00:00+00:00,6.0,6.845,6.0,6.5,4396733,22441,6.571135,0.28712871287128716,0.29224652087475134,,1.961862264869027,70.61410239765338
2022-05-31 04:00:00+00:00,6.39,6.455,5.83,6.08,5322869,17682,6.054707,0.1875,0.21843687374749488,,2.37511257379994,62.62202443339214
2022-06-01 04:00:00+00:00,6.11,6.17,5.71,5.94,2631449,15362,5.923536,0.18326693227091662,0.23750000000000004,,1.1741764840001283,60.1771134618113
2022-06-02 04:00:00+00:00,5.94,6.295,5.87,6.11,2668398,14501,6.142262,0.06631762652705064,0.20750988142292504,,1.1906634639519802,62.11152401115443
2022-06-03 04:00:00+00:00,5.99,6.02,5.72,5.83,2614384,17453,5.819371,-0.02345058626465657,0.22478991596638664,,1.1665619257474462,57.18446492279471
