timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi,symbol
2022-06-16 04:00:00+00:00,8.36,8.44,7.52,7.6,2819379,21352,7.796133,-0.1836734693877552,0.08108108108108092,,1.8418673548414446,44.80248666087923,AXL
2022-06-17 04:00:00+00:00,7.65,7.78,7.28,7.66,3774866,21799,7.593459,-0.13738738738738743,0.09116809116809121,,2.466075846596327,45.54483989176169,AXL
2022-06-21 04:00:00+00:00,8.02,8.14,7.79,8.09,1353006,12296,8.038239,-0.014616321559074441,0.19851851851851854,,0.8839030092458672,50.66568971249773,AXL
2022-06-22 04:00:00+00:00,7.92,8.39,7.92,8.3,1275654,11133,8.29991,0.00728155339805836,0.1511789181692096,,0.8333698515428072,52.99068688037091,AXL
2022-06-23 04:00:00+00:00,8.29,8.44,8.175,8.34,1055747,11377,8.322662,-0.04467353951890041,0.2264705882352942,,0.6897071781664653,53.44078212383722,AXL
2022-06-24 04:00:00+00:00,8.34,8.97,8.33,8.93,3648121,16705,8.810083,0.17500000000000004,0.2559774964838255,,2.38327481917526,59.58712727572488,AXL
2022-06-27 04:00:00+00:00,9.0,9.025,8.65,8.82,1446683,11564,8.854718,0.15143603133159278,0.17287234042553212,,0.9451010986831092,58.04852001708514,AXL
2022-06-28 04:00:00+00:00,8.89,9.075,8.38,8.4,1985983,14016,8.605569,0.038318912237330194,0.057934508816120944,,1.2974194866919548,52.47686173916182,AXL
2022-06-29 04:00:00+00:00,8.34,8.395,7.69,7.93,1973487,18989,7.927284,-0.0445783132530122,-0.022194821208384674,,1.289255995913986,47.03612056161146,AXL
2022-06-30 04:00:00+00:00,7.66,7.67,7.385,7.53,1605182,16000,7.513143,-0.09712230215827333,-0.13942857142857135,,1.0486466432427495,42.95438784666672,AXL
2022-07-01 04:00:00+00:00,7.45,7.74,7.34,7.45,1589092,13639,7.447717,-0.1657334826427771,-0.1629213483146068,,1.0381352342624746,42.16626684739947,AXL
2022-07-05 04:00:00+00:00,7.17,7.39,7.03,7.38,1621124,15547,7.26932,-0.16326530612244905,-0.15560640732265452,,1.0590613655524788,41.44963060806321,AXL
2022-07-06 04:00:00+00:00,7.29,7.39,6.795,6.83,1796346,16506,6.937805,-0.1869047619047619,-0.25273522975929985,,1.1735318505954715,36.23827758842132,AXL
2022-07-07 04:00:00+00:00,6.99,7.465,6.92,7.4,1915131,15625,7.275613,-0.06683480453972246,-0.1938997821350762,,1.2511327030331327,44.08447269568826,AXL
2022-07-08 04:00:00+00:00,7.49,7.59,7.29,7.39,1013053,11081,7.421974,-0.018592297476759723,-0.19934994582881915,,0.6618156868672818,43.98221735237256,AXL
2022-07-11 04:00:00+00:00,7.36,7.45,7.18,7.21,896541,7825,7.269036,-0.03221476510067112,-0.2255639097744362,,0.5856997587684748,42.08972706742247,AXL
2022-07-12 04:00:00+00:00,7.25,7.8965,7.25,7.76,1652972,13543,7.707573,0.051490514905149,-0.12612612612612628,,1.0798672917926155,49.272249777575176,AXL
2022-07-13 04:00:00+00:00,7.52,7.775,7.43,7.74,848907,8309,7.665022,0.13323572474377743,-0.057247259439707765,,0.5545810231956705,49.034088313997444,AXL
